review,summary,rating,sentiment,cleaned_review
"Instead of going to a jewelry store to purchase a Pandora bracelet for my daughter, I decided to buy the charms and bracelet separately so that she can choose how she will put them on the bracelet.  This set gives her a great selection to use and to change over from time to time.",Pandora Bracelet item,5.0,positive,instead of going to a jewelry store to purchase a pandora bracelet for my daughter i decided to buy the charms and bracelet separately so that she can choose how she will put them on the bracelet this set gives her a great selection to use and to change over from time to time
"Sadly, had to return as toe area too shallow.  Wear 9.5N or 10N and ordered these in 9.5N.  Shoes looked great.  Narrow enough.  Wrestled over returning as so hard to find narrow shoes that fit, but short time wearing indoors indicated I would be thinking about my feet all night instead of enjoying the occasion.  Longer length would have made shoe too big.  Amazon policy for shoe returns is great for those of us with narrow feet who have trouble finding narrow shoes, just stay within return window and look for the free returns when ordering!  Thanks, Amazon!",Toe area too shallow,3.0,neutral,sadly had to return as toe area too shallow wear n or n and ordered these in n shoes looked great narrow enough wrestled over returning as so hard to find narrow shoes that fit but short time wearing indoors indicated i would be thinking about my feet all night instead of enjoying the occasion longer length would have made shoe too big amazon policy for shoe returns is great for those of us with narrow feet who have trouble finding narrow shoes just stay within return window and look for the free returns when ordering thanks amazon
"My husband and I both desperately needed slippers and so I searched for amazon-prime-eligible slippers and decided on these for him while they were on a great sale (under $10).  He wears them constantly at home, putting them on immediately when he gets home and leaving them by the door (where his outside shoes are) when he leaves for anywhere.  In other words, when he's home, he wears them.  We have a home that is partially carpeted and partially hard wood and we don't wear ""outside shoes"" in the house.  He says the slippers are good on both surfaces.  We also have stairs and he says they are good on the stairs (doesn't fall out of them as with some slippers).  I only wish I had gotten them for myself as well because the Dearfoams DF118 I got for me that were twice the price and have already become awful (the inside padding moves and becomes very uncomfortable).  I like these Tamaracs so much, I'd like to find them in another color in my size to buy for me.  No more silly pretty slippers for me!  I want comfort and usability.  These slippers have that in spades.  Might not even wait for them to be on sale.  They are much better value than Dearfoams for sure!",great for hubby... or me!,5.0,positive,my husband and i both desperately needed slippers and so i searched for amazonprimeeligible slippers and decided on these for him while they were on a great sale under he wears them constantly at home putting them on immediately when he gets home and leaving them by the door where his outside shoes are when he leaves for anywhere in other words when hes home he wears them we have a home that is partially carpeted and partially hard wood and we dont wear outside shoes in the house he says the slippers are good on both surfaces we also have stairs and he says they are good on the stairs doesnt fall out of them as with some slippers i only wish i had gotten them for myself as well because the dearfoams df i got for me that were twice the price and have already become awful the inside padding moves and becomes very uncomfortable i like these tamaracs so much id like to find them in another color in my size to buy for me no more silly pretty slippers for me i want comfort and usability these slippers have that in spades might not even wait for them to be on sale they are much better value than dearfoams for sure
"Well, this dress was only about $20 and you can tell.  It runs pretty small, and the material is super thin and cheap.  I don't think I will be buying $20 dresses anytime soon.","Runs small, very thin",3.0,neutral,well this dress was only about and you can tell it runs pretty small and the material is super thin and cheap i dont think i will be buying dresses anytime soon
This watch feels like cheap plastic....I gave it to my 8 year old to play with and she loves it.,Not what I expected....,2.0,negative,this watch feels like cheap plastici gave it to my year old to play with and she loves it
To my surprise it fit like it was made for me. My man was was texting me all the next day telling me how sexy I was. This was a good purchase for me. I was unsure at first because of the  S M L sizing. But it worked out for me.,This was a big hit!,5.0,positive,to my surprise it fit like it was made for me my man was was texting me all the next day telling me how sexy i was this was a good purchase for me i was unsure at first because of the s m l sizing but it worked out for me
"I purchased this ring and I was shocked how sophisticated it was, not too big, not too small but a little larger than medium and it is perfect for a man's hand!Great piece of jewelry for a man.",This ring is sophisticted and manly!,4.0,positive,i purchased this ring and i was shocked how sophisticated it was not too big not too small but a little larger than medium and it is perfect for a mans handgreat piece of jewelry for a man
"6 yrs and still awesome. had to scavange a new strap. but is my daily watch.. in the pool at the beach , cutting the lawnvery nearly 5 stars",6 years and still worth the money!,4.0,positive,yrs and still awesome had to scavange a new strap but is my daily watch in the pool at the beach cutting the lawnvery nearly stars
"Upon receiving the bracelet I immediately tried i on.  The length given is a little miss guiding as 7.6 inches.  It is 7.6 inches, however that is the measurement from the end of the toggle to the edge of the other end.  Once the toggle is in place it is a little shorter then anticipated.  I am happy that it fits my wrist.  It could have been a fraction longer.  It is very pretty and I certainly will be keeping it.  A tad longer and it would have rated 5 stars.",IT IS A KEEPER,4.0,positive,upon receiving the bracelet i immediately tried i on the length given is a little miss guiding as inches it is inches however that is the measurement from the end of the toggle to the edge of the other end once the toggle is in place it is a little shorter then anticipated i am happy that it fits my wrist it could have been a fraction longer it is very pretty and i certainly will be keeping it a tad longer and it would have rated stars
"Charm part is okay but i loved the chain.  took some patience but got off charm to wear alone, much better! Will use charm on another thinner chain.  Good buy.  and the vendor is excellent  helpful with another product not this one",love the chain,4.0,positive,charm part is okay but i loved the chain took some patience but got off charm to wear alone much better will use charm on another thinner chain good buy and the vendor is excellent helpful with another product not this one
"Due to a recent injury, and a very swollen foot, I ordered WW width. I was hoping to have something that I could get on my foot, since this will take a long time to heal. The slippers that came are actually more narrow than a regular width! The box label says WW but they are FAR far from it. I am NOT impressed. BEWARE!",WIDTH is SO wrong!,2.0,negative,due to a recent injury and a very swollen foot i ordered ww width i was hoping to have something that i could get on my foot since this will take a long time to heal the slippers that came are actually more narrow than a regular width the box label says ww but they are far far from it i am not impressed beware
"not so bright and not so good, as it is on the picture, but not bad, the color is a bit fade. so i am bit disappointed but as I mentioned not bad",not bad,3.0,neutral,not so bright and not so good as it is on the picture but not bad the color is a bit fade so i am bit disappointed but as i mentioned not bad
"I wear this with a nylon windbreaker when it's chilly.  It also works on its own as a light jacket. Of course, it's not waterproof, so don't plan on using it as a rain jacket.",Nice as an underlayer and as a light jacket,5.0,positive,i wear this with a nylon windbreaker when its chilly it also works on its own as a light jacket of course its not waterproof so dont plan on using it as a rain jacket
I love these pants but they run small.  I had to order a size too big for them to fit.,I love 'em but be sure to order 1 size larger!,5.0,positive,i love these pants but they run small i had to order a size too big for them to fit
I thought I would try a new shoe for work and went back to my New Balance. I have orthotics and they fit OK inside. They did not seem any wider than normal shoes and my feet and knees hurt after work. They are now my yard shoes and they are great for that. If you need a true wide shoe I do not recommend these but if you have a normal width foot go for it. They do have great support.,Ok shoe,3.0,neutral,i thought i would try a new shoe for work and went back to my new balance i have orthotics and they fit ok inside they did not seem any wider than normal shoes and my feet and knees hurt after work they are now my yard shoes and they are great for that if you need a true wide shoe i do not recommend these but if you have a normal width foot go for it they do have great support
