review,summary,rating,sentiment,cleaned_review
I have two of these.  They protect my passport and captain license both physically and electronically.  Very sturdy construction.  Includes one slot for an ID card which is the perfect size for a driver license or TWIC card.,Exactly what I needed.,5.0,positive,i have two of these they protect my passport and captain license both physically and electronically very sturdy construction includes one slot for an id card which is the perfect size for a driver license or twic card
"Crocs really don't need too much complementing because they speak for themselves, they're great. As usual for crocs these seem to run a bit big but for kids shoes its not the end of the world, they'll just fit longer maybe with some socks at first though. I like the touch of green, different than the usual, all pink shoe. They are easy for my daughter to put on by herself and you can wash them if they get muddy!",pink and green,5.0,positive,crocs really dont need too much complementing because they speak for themselves theyre great as usual for crocs these seem to run a bit big but for kids shoes its not the end of the world theyll just fit longer maybe with some socks at first though i like the touch of green different than the usual all pink shoe they are easy for my daughter to put on by herself and you can wash them if they get muddy
My 17 year old was so excited when she got it! She could not wait to show it off to all her friends!!,Teenager loved it!,5.0,positive,my year old was so excited when she got it she could not wait to show it off to all her friends
"Great, comfortable shoes.  I've used a few pairs of these for about the last 4 years and wouldn't trade them for anything.",Great shoes,5.0,positive,great comfortable shoes ive used a few pairs of these for about the last years and wouldnt trade them for anything
these started piling after a day of use. is this common? makes me feel like these won't last very long.,piling?,3.0,neutral,these started piling after a day of use is this common makes me feel like these wont last very long
Nice lookingSize on wrist is very goodmain problem is the lack of sync between digital and analog watches. they tend to go out of sync. yet for the price paid this is expected.,Stylich and sporty on a very small budget,3.0,neutral,nice lookingsize on wrist is very goodmain problem is the lack of sync between digital and analog watches they tend to go out of sync yet for the price paid this is expected
I love this dress. It shows your curves very wellIt's got that perfect ruffle that lets you hide a few issues but I am very happy with this purchase and PattyBoutik.I will proceed to purchase many other products from them.It's very good quality fabric too. Doesn't seem very thin and flimsy.The Convertible top is sweet too. Don't think you only have the 4 options they tell you.Oh no. You can come up with multiple different ways to style this baby.,Amazing.,5.0,positive,i love this dress it shows your curves very wellits got that perfect ruffle that lets you hide a few issues but i am very happy with this purchase and pattyboutiki will proceed to purchase many other products from themits very good quality fabric too doesnt seem very thin and flimsythe convertible top is sweet too dont think you only have the options they tell youoh no you can come up with multiple different ways to style this baby
"The skirt is very full and wonderfully, wonderfully heavy.  It really is a ton of skirt for the price and it's very well made.  If you bought this anywhere else, it would be at *least* fifty bucks.  If this was currently in style, stores like Banana Republic would charge hundreds of dollars and you'd kind of understand why:  it's just gorgeously made.The only issue I have is that I bought this to wear on a regular basis - I didn't want a costume skirt.  And was it not for the color (navy blue), I could've pulled that off.  Unfortunately it's strangely shiny.  If you're aiming to belly dance in this thing, the gauzy material would be totally sexy and mysterious in dim light, but in daylight it looks like the bottom of a fairly classy 80s prom dress - so it's better than what you'd find at a typical prom in the 80s, but it's still something you'd find almost exclusively in the 80s.Definitely a good buy if you're wanting to play dress up, but not something you'd wear casually.","Very nice skirt, but weirdly shiny. Definitely costume wear.",3.0,neutral,the skirt is very full and wonderfully wonderfully heavy it really is a ton of skirt for the price and its very well made if you bought this anywhere else it would be at least fifty bucks if this was currently in style stores like banana republic would charge hundreds of dollars and youd kind of understand why its just gorgeously madethe only issue i have is that i bought this to wear on a regular basis i didnt want a costume skirt and was it not for the color navy blue i couldve pulled that off unfortunately its strangely shiny if youre aiming to belly dance in this thing the gauzy material would be totally sexy and mysterious in dim light but in daylight it looks like the bottom of a fairly classy s prom dress so its better than what youd find at a typical prom in the s but its still something youd find almost exclusively in the sdefinitely a good buy if youre wanting to play dress up but not something youd wear casually
this is a great cleaning cloth for all your jewelry it makes it shine a lot will buy again thank you very much,fifi,5.0,positive,this is a great cleaning cloth for all your jewelry it makes it shine a lot will buy again thank you very much
I really like these socks. They are cute and go with anything I wear. The only thing I would them to be a little thicker.,A little thin but...,4.0,positive,i really like these socks they are cute and go with anything i wear the only thing i would them to be a little thicker
